epoch,lr,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_weighted_f1,val_weighted_f1,train_macro_precision,val_macro_precision,train_macro_recall,val_macro_recall
1,0.0005,2.3813811005183627,2.1121898002624513,0.12914285714285714,0.16666666666666666,0.10231492933876507,0.07419585866869995,0.10314317809537916,0.0747228268040355,0.14067479205407518,0.14635593831818086,0.12780343063665311,0.16632620385140548
2,0.0005,2.038809997149876,1.9079061924616496,0.19071428571428573,0.26666666666666666,0.16894192181957582,0.1525834191702917,0.16997680197668444,0.15393943243516536,0.1835370413865968,0.1680220257556415,0.18964613026058671,0.26515160170250895
3,0.0005,1.8882756878989084,1.753907452583313,0.22957142857142857,0.3,0.2137062138672168,0.21015011425154226,0.21483754710873657,0.20975205478153341,0.2270049709313514,0.23216462525248108,0.22836913587626986,0.3007380804078778
4,0.0005,1.740073541232518,1.4854919783274332,0.2914285714285714,0.446,0.27638795329682303,0.4060691785153204,0.2772544031891737,0.40873493187982823,0.2909832601856888,0.4720384485183846,0.290684475449589,0.4435075346961043
5,0.0005,1.4369520815440586,1.1255903937021892,0.45571428571428574,0.6233333333333333,0.4476516730570379,0.585483272171613,0.44904312612944114,0.5897314527352994,0.4553788112377622,0.6527481176904119,0.45436793769753003,0.6192157197172564
6,0.0005,1.1741989236559187,0.9458017627398173,0.5645714285714286,0.6713333333333333,0.5577643621489238,0.6316036180858465,0.5602612360621464,0.6344215933945769,0.5636924023818072,0.6797733089377017,0.5620291231740105,0.6687451116020894
7,0.0005,1.0230283385004315,0.7973982186317444,0.6075714285714285,0.674,0.6042616326920018,0.6233421471197752,0.6064798030888876,0.6265182852159428,0.6056238428815687,0.6943143369686272,0.6052556423506642,0.6713556554173564
8,0.0005,0.8565797185216631,0.648027127901713,0.6567142857142857,0.7526666666666667,0.650397006235539,0.7461917553173724,0.6527360087588739,0.7473728811583166,0.6569179818281282,0.7575529735210353,0.6542713978165687,0.751140743971967
9,0.0005,0.7246805660384041,0.5199161837895712,0.7094285714285714,0.782,0.7090807167444693,0.7719612806282092,0.7102301644632268,0.7724837493644762,0.7109533727565346,0.7964508110566083,0.7083667781502186,0.7818588724637726
10,0.0005,0.6037535435131618,0.4577523897488912,0.7512857142857143,0.7833333333333333,0.7506763092765575,0.7627505575324336,0.7510931134786848,0.7638432797267921,0.7521156850701828,0.8056325723702744,0.7510502310304067,0.7817304753032649
11,0.0005,0.5277159625802721,0.41287546078364057,0.777,0.8326666666666667,0.7763291011831833,0.8256719353637766,0.7765432755952759,0.8246962812577362,0.776550079518731,0.8333241724819578,0.7767982528236194,0.8336517184329315
12,0.0005,0.45470986785207473,0.3444300417900085,0.8177142857142857,0.836,0.8180502223265363,0.8249367807485152,0.8173421366350826,0.8240005094446892,0.8186683818319658,0.8380046485135781,0.8185519399718436,0.836846685862692
13,0.0005,0.4055116415023804,0.32642178010940553,0.8188571428571428,0.822,0.8197306813613716,0.7894272337896431,0.818728478209721,0.7880672691400763,0.8200791479983186,0.8607722992548464,0.8199522697283634,0.8238416832010582
14,0.0005,0.3806542708533151,0.31977003685633343,0.8207142857142857,0.8333333333333334,0.8212159854083567,0.7888796904403302,0.8202298276326448,0.7880257188621701,0.8213250077691598,0.7937953240426445,0.8217601093704565,0.8338915989159892
15,0.0005,0.3686290282181331,0.31591754603385924,0.8261428571428572,0.8326666666666667,0.8269536431393404,0.7777691536952626,0.8258865659073819,0.7768920374630144,0.8274084778091272,0.7499920624841249,0.8272481077726616,0.8333333333333334
16,0.0005,0.35421405155318125,0.315060284614563,0.8301428571428572,0.8266666666666667,0.8309347269961841,0.8043105075307833,0.8299144138417835,0.8031004461413,0.8310093279070133,0.8334370851538234,0.8311486259818469,0.8283238482384824
17,0.00025,0.3467484300817762,0.31590385985374453,0.8302857142857143,0.834,0.8313459457268179,0.7930161080635081,0.8303187731786225,0.7928679064679048,0.8313897614655305,0.840228712341431,0.8313141068681719,0.833560183168796
18,0.00025,0.346531190940312,0.3139397006034851,0.8264285714285714,0.828,0.827024974747509,0.8230195071527767,0.8260712153139071,0.8222851472660989,0.8272426100479778,0.8280943284884087,0.8273984835712082,0.8288142865208413
19,0.00025,0.33876012359346663,0.3137636849880219,0.8332857142857143,0.8313333333333334,0.8341117924088645,0.8027515268894577,0.8330682163380746,0.8019419354591767,0.8343774061007952,0.8369105464812705,0.8342961511536987,0.8323243745160666
20,0.00025,0.33792227513449535,0.31332356357574465,0.8344285714285714,0.8306666666666667,0.8354454037397009,0.7967834958301033,0.8343292741270493,0.7959675358024536,0.8353656370496312,0.8287581038738279,0.8355524870950907,0.8314490035004516
21,0.00025,0.33759728506633213,0.3136635506947835,0.8298571428571428,0.8326666666666667,0.8297088216280869,0.8101693850228188,0.8285337159348538,0.8096303191194314,0.8308689442221556,0.8223847005834122,0.8311047162312529,0.8325893583042973
